2023-04-07 20:17:16,743 [INFO] 👾 | Building topology...
2023-04-07 20:17:16,793 [INFO] 👾 | Topology name: Lab
2023-04-07 20:17:16,796 [INFO] 👾 | Drawing topology...
2023-04-07 20:17:17,538 [INFO] 👾 | Topology drawn, saved as: topology/topology.png
2023-04-07 20:17:17,540 [INFO] 👾 | Topology build complete
2023-04-07 20:17:17,543 [INFO] 👽 | Rendering configs...
2023-04-07 20:17:17,575 [INFO] 👽 | Rendered /srv/tftp/configs/LAB-897VA.conf
2023-04-07 20:17:17,597 [INFO] 👽 | Rendered /srv/tftp/configs/LAB-SRX300.conf
2023-04-07 20:17:17,599 [INFO] 👽 | Config rendering complete
2023-04-07 20:17:17,602 [INFO] 🤖 | DHCP server is starting...
2023-04-07 20:17:17,604 [INFO] 🤖 | Waiting for DHCP packets...
2023-04-07 20:19:23,166 [INFO] 🤖 | DHCP packet received from IP 10.0.0.0 on port 67
2023-04-07 20:19:23,169 [INFO] 🤖 | Received packet options:
2023-04-07 20:19:23,172 [INFO] 🤖 | 53 [DHCP Message Type]: 1
2023-04-07 20:19:23,175 [INFO] 🤖 | 51 [IP Address Lease Time]: 86400
2023-04-07 20:19:23,178 [INFO] 🤖 | 12 [Hostname]: LAB-SRX300
2023-04-07 20:19:23,180 [INFO] 🤖 | Received DHCP discover packet
2023-04-07 20:19:23,183 [INFO] 👾 | Saw client: LAB-SRX300
2023-04-07 20:19:23,186 [INFO] 👾 | OS: junos
2023-04-07 20:19:23,188 [INFO] 🤖 | Constructing DHCP offer packet...
2023-04-07 20:19:23,191 [INFO] 🤖 | Offer packet options:
2023-04-07 20:19:23,193 [INFO] 🤖 | 53 [DHCP Message Type]: 2
2023-04-07 20:19:23,196 [INFO] 🤖 | 54 [DHCP Server IP Address]: 172.16.0.200
2023-04-07 20:19:23,198 [INFO] 🤖 | 51 [IP Address Lease Time]: 86400
2023-04-07 20:19:23,200 [INFO] 🤖 | 1 [Subnet Mask]: 255.255.255.254
2023-04-07 20:19:23,202 [INFO] 🤖 | 3 [Default Gateway]: 10.0.0.0
2023-04-07 20:19:23,205 [INFO] 🤖 | 150 [TFTP Server IP Address]: 172.16.0.200
2023-04-07 20:19:23,207 [INFO] 🤖 | 43 [Vendor Specific Information]: /configs/LAB-SRX300.conftftp
2023-04-07 20:19:23,209 [INFO] 🤖 | Waiting for DHCP packets...
2023-04-07 20:19:23,212 [INFO] 🤖 | DHCP packet received from IP 10.0.0.0 on port 67
2023-04-07 20:19:23,215 [INFO] 🤖 | Received packet options:
2023-04-07 20:19:23,217 [INFO] 🤖 | 54 [DHCP Server IP Address]: 172.16.0.200
2023-04-07 20:19:23,219 [INFO] 🤖 | 55 [Parameter Request List]: [3, 51, 1, 15, 6, 66, 67, 120, 44, 43, 150, 12, 7, 42]
2023-04-07 20:19:23,221 [INFO] 🤖 | 50 [Requested IP Address]: 10.0.0.1
2023-04-07 20:19:23,223 [INFO] 🤖 | 53 [DHCP Message Type]: 3
2023-04-07 20:19:23,225 [INFO] 🤖 | 51 [IP Address Lease Time]: 86400
2023-04-07 20:19:23,227 [INFO] 🤖 | 12 [Hostname]: LAB-SRX300
2023-04-07 20:19:23,229 [INFO] 🤖 | Received DHCP request packet
2023-04-07 20:19:23,231 [INFO] 🤖 | Constructing DHCP ack packet...
2023-04-07 20:19:23,233 [INFO] 🤖 | Ack packet options:
2023-04-07 20:19:23,235 [INFO] 🤖 | 53 [DHCP Message Type]: 5
2023-04-07 20:19:23,237 [INFO] 🤖 | 54 [DHCP Server IP Address]: 172.16.0.200
2023-04-07 20:19:23,239 [INFO] 🤖 | 51 [IP Address Lease Time]: 86400
2023-04-07 20:19:23,241 [INFO] 🤖 | 1 [Subnet Mask]: 255.255.255.254
2023-04-07 20:19:23,243 [INFO] 🤖 | 3 [Default Gateway]: 10.0.0.0
2023-04-07 20:19:23,245 [INFO] 🤖 | 150 [TFTP Server IP Address]: 172.16.0.200
2023-04-07 20:19:23,247 [INFO] 🤖 | 43 [Vendor Specific Information]: /configs/LAB-SRX300.conftftp
2023-04-07 20:19:23,249 [INFO] 🤖 | Waiting for DHCP packets...
2023-04-07 20:22:32,406 [INFO] 🤖 | DHCP packet received from IP 10.0.0.1 on port 68
2023-04-07 20:22:32,410 [INFO] 🤖 | Received packet options:
2023-04-07 20:22:32,413 [INFO] 🤖 | 54 [DHCP Server IP Address]: 172.16.0.200
2023-04-07 20:22:32,417 [INFO] 🤖 | 53 [DHCP Message Type]: 7
2023-04-07 20:22:32,419 [INFO] 🤖 | 12 [Hostname]: LAB-SRX300
2023-04-07 20:22:32,421 [INFO] 🤖 | Received DHCP release packet
2023-04-07 20:22:32,422 [INFO] 🤖 | See you around, partner🤠
2023-04-07 20:22:32,424 [INFO] 🤖 | Waiting for DHCP packets...
2023-04-07 20:23:00,802 [INFO] 🤖 | Exiting...
